volume,volume_weighted_average_price,open,close,high,low,number_of_transactions
6.530509e6,121.2786,121.78,121.01,122.72,120.74,45594
1.0057663e7,120.8975,121.24,120.6,121.67,120.33,70528
8.051278e6,118.633,119.02,119.06,119.7261,117.77,58344
7.408706e6,118.2351,118.55,117.7,119.09,117.65,52290
7.465815e6,117.2058,117.59,117.51,117.9222,116.18,54693
6.496748e6,116.8889,117.52,116.44,117.69,116.4,44876
6.971902e6,116.5252,116.47,116.66,116.9103,116.08,44175
7.294722e6,116.1858,116.5,116.3,116.88,115.705,54564
5.890361e6,116.0248,116.3,116.13,116.405,115.65,43402
7.103081e6,116.8368,116.56,116.89,117.28,116.45,42313
8.796682e6,116.1233,117.01,115.58,117.29,115.52,46020
8.626776e6,113.7753,115.1,113.31,115.15,113.17,55343
5.704398e6,112.9473,113.1,112.9,113.53,112.46,49088
8.161158e6,112.8884,112.4,113.1,113.49,111.86,47672
7.056805e6,111.9647,112.79,111.85,112.98,111.3401,56711
7.804693e6,110.4148,110.25,110.39,110.83,109.98,64637
5.861642e6,111.2244,110.98,111.12,111.62,110.77,41208
4.854716e6,110.6594,111.45,110.37,111.84,110.18,41566
8.505587e6,110.27,109.81,111.4,111.58,109.06,68123
1.3840502e7,107.5702,109.81,107.14,110.0,106.395,101979
8.959734e6,106.3153,106.95,106.28,107.25,105.4001,68156
1.0067884e7,107.1731,107.68,106.85,108.335,106.6,65590
7.068188e6,109.799,108.27,110.28,110.65,108.11,55921
6.438702e6,109.6616,110.63,109.49,110.67,109.11,47922
4.929529e6,108.9418,108.93,108.94,109.44,108.47,44010
6.176154e6,109.1112,108.54,109.79,109.8,108.32,47835
6.225489e6,110.9131,110.78,111.21,111.37,110.0616,52496
5.871922e6,112.1228,112.51,112.04,112.6,111.61,46142
6.082685e6,111.7445,111.37,111.66,112.33,111.23,43634
5.281408e6,110.1278,110.84,110.08,110.97,109.58,41455
5.143821e6,109.685,109.0,110.24,110.27,108.8318,42607
5.981121e6,110.6194,110.52,110.74,111.0958,109.89,43502
